full_name,pha,diameter,rot_per,e [rad],a [au],I [deg],L [deg],long.node.  [deg],long.peri.  [deg],ma,n,per_y
159857 (2004 LJ1),Y,3.07,2.72627,0.5935,2.263,23.15,694.93,235.54,140.02,319.37,0.2895,3.4
159928 (2005 CV69),N,,,0.4196,1.654,27.75,288.4,157.45,95.66,35.29,0.4632,2.13
161989 Cacus (1978 CA),Y,1.9,3.7538,0.2139,1.123,26.06,602.11,161.21,102.09,338.81,0.8285,1.19
162000 (1990 OS),Y,0.4,2.536,0.4624,1.678,1.09,607.77,346.51,21.59,239.67,0.4532,2.17
162039 (1996 JG),Y,,,0.6604,1.802,5.28,579.39,52.83,280.26,246.3,0.4076,2.42
162063 (1997 EH29),N,,,0.6665,1.214,13.01,715.25,175.11,198.67,341.47,0.7367,1.34
162082 (1998 HL1),Y,,11.7864,0.187,1.246,20.05,590.41,213.53,148.66,228.22,0.7084,1.39
162116 (1998 SA15),Y,0.538,,0.5585,1.916,7.11,713.27,114.17,331.44,267.66,0.3717,2.65
162120 (1998 SH36),Y,,,0.5709,1.088,2.13,776.2,217.82,278.85,279.53,0.8687,1.13
162157 (1999 CV8),N,,,0.3515,1.297,15.27,604.49,131.97,279.35,193.17,0.6673,1.48
162162 (1999 DB7),Y,,,0.1949,1.206,10.84,297.85,157.59,29.93,110.33,0.7444,1.32
162173 Ryugu (1999 JU3),Y,0.896,7.63262,0.1911,1.191,5.87,790.23,251.29,211.61,327.33,0.7583,1.3
162181 (1999 LF6),N,0.729,37.26,0.2805,1.41,18.94,351.05,208.5,140.89,1.66,0.5889,1.67
162183 (1999 NB5),Y,,,0.5351,2.072,1.43,501.53,235.31,123.19,143.03,0.3304,2.98
162195 (1999 RK45),N,,,0.773,1.598,5.89,242.94,119.99,4.17,118.78,0.4879,2.02
162210 (1999 SM5),Y,,6.23,0.695,2.306,5.19,729.32,327.62,319.31,82.39,0.2815,3.5
162214 (1999 TC10),N,,,0.586,2.323,19.16,92.31,27.67,58.78,5.86,0.2784,3.54
162215 (1999 TL12),N,,,0.4365,1.082,17.34,830.28,202.31,346.79,281.18,0.8762,1.12
162269 (1999 VO6),N,1.01,,0.7378,1.135,40.13,682.55,206.83,302.53,173.19,0.8147,1.21
162416 (2000 EH26),Y,,24,0.478,1.855,0.4,478.37,215.25,19.22,243.9,0.3902,2.53
162422 (2000 EV70),Y,,,0.5311,1.207,1.4,664.31,108.93,314.5,240.88,0.7431,1.33
162433 (2000 FK10),N,,,0.4815,1.359,13.94,415.39,41.66,247.02,126.71,0.622,1.58
162463 (2000 JH5),N,1.048,3.024,0.2382,1.146,22.21,545.66,80.17,353.57,111.92,0.8038,1.23
162470 (2000 KX43),N,,,0.553,1.113,35.27,458.59,83.74,31.78,343.07,0.8398,1.17
162474 (2000 LB16),Y,,,0.3574,1.241,50.71,529.49,80.85,285.25,163.39,0.7132,1.38
162510 (2000 QW69),Y,1.406,,0.3023,1.376,38.14,656.46,344.33,220.73,91.4,0.6105,1.61
162567 (2000 RW37),Y,0.335,2.439,0.2501,1.247,13.75,478.79,333.29,133.29,12.21,0.7075,1.39
162679 (2000 TK1),N,,,0.5716,1.199,29.23,510.26,13.01,167.4,329.85,0.7503,1.31
162687 (2000 UH1),Y,,,0.5436,1.875,14.77,209.82,76.13,40.97,92.72,0.3838,2.57
162695 (2000 UL11),Y,,,0.6354,2.122,2.19,731.79,333.18,152.12,246.49,0.3187,3.09
162723 (2000 VM2),N,,4.571,0.6814,1.774,6.39,519.91,329.79,187.38,2.74,0.417,2.36
162783 (2000 YJ11),Y,,,0.2323,1.314,7.26,731.1,64.92,339.16,327.02,0.6546,1.51
162825 (2001 BO61),Y,,,0.7444,1.773,9.07,577.47,159.52,79.16,338.79,0.4174,2.36
162882 (2001 FD58),Y,,,0.5752,1.092,6.5,735.63,341.15,46.02,348.46,0.8633,1.14
162903 (2001 JV2),N,1.086,,0.2372,1.305,47.49,834.71,216.89,301.22,316.6,0.6615,1.49
162911 (2001 LL5),N,,,0.3394,1.204,7.95,805.97,281.82,205.17,318.98,0.746,1.32
162913 (2001 MT18),N,,,0.5195,1.271,8.65,689.61,170.48,356.16,162.97,0.688,1.43
162922 (2001 OY13),Y,,,0.382,1.319,10.3,749.66,284.18,291.31,174.17,0.651,1.51
162979 (2001 RA12),Y,,,0.5441,2.037,17.09,997.56,311.58,326.05,359.93,0.3391,2.91
162980 (2001 RR17),N,0.79,12.71,0.4886,1.553,30.4,695.9,177.6,351.5,166.8,0.5092,1.94
162998 (2001 SK162),Y,0.875,68,0.4743,1.926,1.68,653.25,285.29,186.45,181.51,0.3687,2.67
163014 (2001 UA5),Y,,,0.4456,1.787,9.94,294.17,58.62,27.68,207.87,0.4125,2.39
163015 (2001 UX16),N,,,0.3683,1.417,10.62,650.49,213.37,254.57,182.55,0.5844,1.69
163026 (2001 XR30),Y,,,0.3652,1.297,11.86,648.42,247.85,294.5,106.07,0.6672,1.48
163051 (2001 YJ4),Y,,4.693,0.5676,2.274,9.29,778.9,247.77,322.44,208.69,0.2874,3.43
163067 (2002 AP3),Y,,,0.5862,2.046,7.61,459.95,87.3,117.82,254.83,0.3368,2.93
163081 (2002 AG29),N,,19.64,0.2033,1.087,11.5,535.82,212.84,43.95,279.03,0.8701,1.13
163132 (2002 CU11),Y,0.46,,0.2952,1.22,48.78,497.44,157.74,110.53,229.17,0.7317,1.35
163191 (2002 EQ9),N,,3,0.4653,1.835,16.29,234.36,179.09,44.39,10.88,0.3966,2.49
163249 (2002 GT),Y,,3.7663,0.3347,1.344,6.97,396.76,201.73,135.14,59.89,0.6323,1.56
163295 (2002 HW),N,,,0.6451,2.462,5.81,410.56,32.32,77.67,300.57,0.2552,3.86
163335 (2002 LJ),N,,,0.6668,1.328,56.32,571.57,247.04,155.66,168.87,0.644,1.53
163364 (2002 OD20),Y,,2.42,0.3689,1.365,4.19,619.29,259.85,275.35,84.09,0.6179,1.6
163373 (2002 PZ39),Y,,148.7,0.5465,1.469,1.67,785.01,328.77,260.13,196.11,0.5534,1.78
163454 (2002 RN129),N,0.712,,0.3698,1.162,23.12,588.09,332.1,198.67,57.32,0.7868,1.25
163679 (2002 XG84),N,,,0.4716,1.495,5.06,387.96,29.75,349.74,8.47,0.5391,1.83
163683 (2002 YP2),Y,,,0.6881,1.577,20.63,365.4,52.46,281.41,31.53,0.4976,1.98
163692 (2003 CY18),N,,27.66,0.4104,1.526,7.2,371.44,114.33,180.95,76.16,0.5227,1.89
163696 (2003 EB50),N,,62.06,0.519,1.571,29.51,553.68,65.61,278.96,209.11,0.5007,1.97
163697 (2003 EF54),Y,,,0.4728,1.609,2.95,798.61,268.45,353.79,176.37,0.4827,2.04
163732 (2003 KP2),N,,151.1,0.6964,2.752,44.63,601.98,193.42,190.66,217.9,0.2159,4.57
163758 (2003 OS13),N,,,0.7412,1.296,41.53,692.72,272.14,244.28,176.3,0.668,1.48
163818 (2003 RX7),Y,0.386,5.649,0.3545,1.229,10.39,555.6,241.01,245.91,68.68,0.723,1.36
164120 (2003 YK),N,,,0.4079,1.512,11.03,551.25,345.61,189.67,15.97,0.53,1.86
164121 (2003 YT1),Y,1.717,2.343,0.292,1.11,44.06,364.44,38.31,91,235.13,0.843,1.17
164184 (2004 BF68),N,,5.568,0.4532,1.627,4.6,531.66,202.19,2.65,326.82,0.4748,2.08
164201 (2004 EC),N,,3.909,0.8602,1.997,34.61,162.13,28.83,10.33,122.97,0.3493,2.82
164206 (2004 FN18),N,1.138,,0.4096,1.701,18.28,618.68,214.42,232.85,171.41,0.4443,2.22
164207 (2004 GU9),Y,0.163,,0.1359,1.001,13.65,381.52,38.41,279.48,63.63,0.9837,1
164211 (2004 JA27),Y,,,0.4233,1.666,2.26,466.87,67.76,270.22,128.89,0.4583,2.15
164216 (2004 OT11),Y,,,0.5651,2.153,19.99,788.64,294.89,326.6,167.15,0.3119,3.16
164222 (2004 RN9),N,,,0.247,1.304,16.11,193.18,0.94,67.2,125.04,0.6618,1.49
164342 (2005 CP),N,,,0.361,1.57,19.17,540.12,138.89,73.05,328.18,0.5011,1.97
164400 (2005 GN59),Y,,38.69,0.4679,1.657,6.63,591.73,218.96,203.05,169.72,0.4622,2.13
168318 (1989 DA),Y,0.9,3.925,0.5417,2.162,6.49,571.89,349.07,139.82,83,0.31,3.18
169352 (2001 UY16),N,0.316,,0.5196,2.083,32.28,295.94,32.2,48.41,215.33,0.3278,3.01
170013 (2002 UO3),N,,,0.7997,2.946,25.4,604.32,184.16,330.17,89.99,0.1949,5.06
170086 (2002 XR14),Y,,,0.626,1.905,2.13,265.25,75.48,120.49,69.28,0.3749,2.63
170502 (2003 WM7),N,,7.2,0.8818,2.47,10.51,290.09,48.26,144.17,97.66,0.2539,3.88
170903 (2004 WS2),Y,,,0.6031,1.336,8.27,471.09,87.67,115.46,267.96,0.638,1.54
171486 (1996 MO),N,,,0.512,1.794,6.09,514.54,165.08,4.75,344.71,0.4101,2.4
171576 (1999 VP11),Y,,2.796,0.5836,1.086,17.28,381.06,208.08,61.74,111.24,0.8711,1.13
171839 (2001 JM1),Y,,5.7516,0.3108,1.46,17.08,667.46,226.64,321.98,118.84,0.5584,1.77
172678 (2003 YM137),Y,,,0.7028,2.559,2.82,531.04,73.98,131.02,326.04,0.2407,4.09
172722 (2004 BV102),N,,,0.6994,1.544,7.22,672.7,341.28,17.23,314.19,0.5139,1.92
173561 (2000 YV137),Y,,2.722,0.3109,1.448,28,678.9,137.22,211.38,330.3,0.5656,1.74
174881 (2004 BU58),N,,,0.557,1.254,57.23,442.56,120.17,171.81,150.58,0.7019,1.4
175114 (2004 QQ),N,,8.879,0.6633,2.25,5.72,321.73,288.08,31.49,2.16,0.2921,3.37
175706 (1996 FG3),Y,1.196,3.5942,0.3501,1.055,1.97,356.28,299.5,24.06,32.72,0.9095,1.08
175729 (1998 BB10),Y,,,0.4246,1.271,11.54,664.13,124.27,259.25,280.61,0.6875,1.43
175921 (2000 DM1),N,1.039,,0.4838,1.369,20.7,713.03,342.76,306.7,63.57,0.6153,1.6
177016 (2003 BM47),N,,,0.5821,1.16,13.81,322.94,137.58,155.35,30.01,0.7887,1.25
177049 (2003 EE16),Y,,,0.6143,1.418,0.65,391.86,127.23,259.5,5.13,0.5838,1.69
177614 (2004 HK33),Y,,,0.5204,1.889,5.44,620.6,104.7,221.54,294.36,0.3796,2.6
177651 (2004 XM14),N,,,0.6989,1.154,42.4,362.8,89.42,186.37,87.01,0.7947,1.24
179806 (2002 TD66),Y,,9.455,0.5347,1.858,4.93,681.87,335.53,125.88,220.46,0.3892,2.53
180186 (2003 QZ30),Y,,,0.6315,2.422,8.57,619.92,178.04,243.1,198.78,0.2615,3.77
184266 (2004 VW14),Y,,2.5009,0.5977,2.121,3.83,283.78,100.83,42.78,140.17,0.319,3.09
184990 (2006 KE89),N,2.039,2.5435,0.7991,1.053,45.12,704.32,88.59,299.23,316.5,0.9117,1.08
185851 (2000 DP107),Y,0.863,2.7754,0.3765,1.365,8.67,710.64,358.65,289.77,62.22,0.6179,1.6
186822 (2004 FE31),N,,,0.4526,1.574,13.06,365.37,200.73,150.36,14.28,0.499,1.98
186823 (2004 FN32),N,,,0.6768,1.205,21.96,457.92,190.06,161.15,106.71,0.7452,1.32
186844 (2004 GA1),Y,,,0.6726,2.43,7.77,430.99,261.48,54.63,114.88,0.2602,3.79
187040 (2005 JS108),Y,0.43,,0.3222,1.355,6.04,383.26,110.84,244,28.42,0.6246,1.58
189008 (1996 FR3),N,,5.36,0.7935,2.168,8.04,77.55,27.15,36.73,13.67,0.3088,3.19
189040 (2000 MU1),Y,,,0.3825,1.372,13.09,278.52,130.03,63.78,84.71,0.613,1.61
189173 (2002 XY4),N,,,0.5703,1.844,43.08,773,268.9,273.74,230.36,0.3937,2.5
189630 (2001 LE6),N,,,0.6931,1.206,12.62,781.73,290.52,201.56,289.65,0.7442,1.32
189865 (2003 NC),Y,,,0.8055,1.406,21.57,828.05,288.39,224.33,315.33,0.5914,1.67
190119 (2004 VA64),N,1.451,,0.8903,2.469,29.86,316.71,225.51,20,71.2,0.2541,3.88
190135 (2005 QE30),N,,,0.6882,2.019,6.22,659.76,259.7,217.07,182.99,0.3436,2.87
190491 (2000 FJ10),N,,2.46,0.2346,1.319,5.28,602.98,189.74,232.38,180.86,0.6504,1.52
190788 (2001 RT17),N,,,0.7921,1.268,20.09,700.25,349.97,199.65,150.63,0.6902,1.43
191094 (2002 EA3),N,,,0.6411,2.115,32.15,718.45,349.38,259.41,109.66,0.3204,3.08
192559 (1998 VO),Y,,,0.2266,1.075,10.06,486.2,228.12,75.97,182.11,0.8845,1.11
192563 (1998 WZ6),Y,,,0.4078,1.452,24.76,405.68,68.68,110.75,226.25,0.5633,1.75
192642 (1999 RD32),N,,17.08,0.7703,2.641,6.81,935.28,309.86,300.1,325.32,0.2296,4.29
193178 (2000 PK5),N,,,0.7015,1.934,13.13,746.03,227.2,191.83,327,0.3664,2.69
194006 (2001 SG10),Y,,,0.4243,1.449,4.26,401.4,184.93,101.62,114.85,0.5651,1.74
194268 (2001 UY4),Y,1.244,6.802,0.7875,1.453,5.44,342.95,160.69,107.81,74.45,0.5628,1.75
194386 (2001 VG5),N,0.916,6.38,0.6135,2.301,13.69,691.25,248.25,280.4,162.6,0.2823,3.49
196068 (2002 TW55),Y,,,0.6645,2.118,59.35,369.93,33.54,251.12,85.27,0.3198,3.08
196625 (2003 RM10),Y,,,0.5917,1.848,13.72,795.53,341.17,287.44,166.92,0.3924,2.51
197588 (2004 HE12),Y,,,0.4659,1.845,42.71,569.72,338.03,162.22,69.47,0.3931,2.51
199145 (2005 YY128),Y,,,0.7323,1.649,3.77,876.61,299.96,315.17,261.48,0.4655,2.12
199801 (2007 AE12),Y,,,0.5694,1.684,2.29,460.82,245.44,86.98,128.4,0.4509,2.19
200754 (2001 WA25),N,0.553,3.653,0.5169,1.756,15.51,684.67,279.74,83.79,321.14,0.4234,2.33
202411 (2005 RC),N,,,0.7524,2.152,16.26,278,191.95,40.59,45.46,0.3122,3.16
202435 (2005 XH8),N,,,0.6917,1.322,29.09,327.2,79.69,159.13,88.38,0.6481,1.52
204131 (2003 YL),N,,,0.6323,1.147,5.65,368.71,291.92,29.47,47.32,0.8028,1.23
204232 (2004 DG2),N,,,0.5634,1.248,17.34,856.64,329.24,343.38,184.02,0.7074,1.39
205744 (2002 BK25),N,,,0.749,2.3,11.94,423.02,155.03,105.06,162.93,0.2825,3.49
206378 (2003 RB),Y,0.376,37.5,0.4389,1.788,6.72,648.2,317.13,44.07,287,0.4121,2.39
206910 (2004 NL8),Y,,,0.7156,2.574,5.02,731.15,150.9,278.14,302.11,0.2387,4.13
207398 (2006 AS2),Y,,4.48,0.6419,2.091,2.6,255.59,125.63,80.07,49.89,0.3261,3.02
207945 (1991 JW),Y,0.423,3.1499,0.1186,1.039,8.71,447.9,53.85,301.95,92.1,0.9305,1.06
208115 (2000 CT101),Y,,,0.3547,1.299,23.3,706.63,135.55,292.43,278.65,0.6654,1.48
208565 (2002 CT11),N,,4.339,0.5388,1.258,53.85,121.26,6.06,24.9,90.3,0.6985,1.41
208617 (2002 EB3),N,,,0.6839,1.758,9.92,517.75,1.52,300.35,215.88,0.423,2.33
211871 (2004 HO),N,0.411,,0.5109,1.847,7.87,324.8,146.11,163.78,14.91,0.3927,2.51
212359 (2006 EV52),N,1.261,,0.7073,2.016,15.95,405.97,168.48,167.15,70.34,0.3443,2.86
213869 (2003 SG170),N,,,0.6029,1.86,36.99,561.24,199.25,309.25,52.74,0.3886,2.54
214088 (2004 JN13),N,2.423,6.342,0.6902,2.89,13.35,377.9,85.03,279.27,13.6,0.2006,4.91
214869 (2007 PA8),Y,,102.24,0.653,2.849,2,610.92,141.3,293.85,175.77,0.2049,4.81
215188 (2000 NM),N,,9.24,0.6633,2.686,22.28,518.11,273.3,71.42,173.39,0.2239,4.4
215588 (2003 HF2),Y,0.488,,0.6755,1.114,3.06,616.25,189.88,231.04,195.33,0.8383,1.18
216115 (2006 SU19),Y,,,0.5864,1.527,2.09,255.76,152.22,10.63,92.91,0.5223,1.89
216258 (2006 WH1),Y,,7.3,0.4849,1.671,2.63,569.57,240.31,263.68,65.58,0.4561,2.16
216985 (2000 QK130),Y,,,0.262,1.181,4.72,598.35,173.81,66.4,358.14,0.7684,1.28
217390 (2005 CW25),N,,,0.4779,1.626,28.48,392.77,148.3,108.96,135.51,0.4753,2.07
217430 (2005 SN25),Y,,,0.2706,1.23,13.01,334.65,168.27,45.2,121.18,0.7225,1.36
217628 Lugh (1990 HA),Y,1.4,8.55,0.7115,2.527,4.44,654.41,177.75,316.15,160.51,0.2453,4.02
217837 (2001 LC),N,,,0.6774,1.055,16.97,384.12,112.36,2.5,269.26,0.9101,1.08
218017 (2001 XV266),N,0.451,,0.1927,1.196,12,579.38,214.08,265.07,100.23,0.7531,1.31
218863 (2006 WO127),N,1.237,210,0.5477,2.197,11.03,667.39,167.51,314.47,185.41,0.3027,3.26
219021 (1991 LH),N,,,0.7332,1.357,53.13,631.03,281.03,203.81,146.19,0.6237,1.58
219071 (1997 US9),N,0.657,3.319,0.2821,1.053,20.02,746.88,212.19,357.4,177.29,0.9124,1.08
220124 (2002 TE66),N,0.609,3.89,0.3778,1.457,51.34,615.12,191,290.55,133.57,0.5604,1.76
220839 (2004 VA),Y,,6.7906,0.5949,1.901,3.69,333.65,109.45,43.48,180.72,0.3761,2.62
220909 (2005 EO1),N,,,0.7053,2.534,13.87,556.13,231.15,40.88,284.1,0.2443,4.04
221455 (2006 BC10),Y,,,0.6577,2.017,0.92,397.85,21.04,234.3,142.51,0.344,2.87
221980 (1996 EO),Y,0.432,,0.4008,1.342,21.59,634.67,356.46,64.69,213.52,0.6342,1.55
222869 (2002 FB6),N,,8.98,0.5447,1.797,33.71,393.26,182.66,101.87,108.73,0.4092,2.41
224926 (2007 DA41),N,,,0.44,1.461,30.22,545.71,225.9,20.32,299.49,0.5581,1.77
225416 (1999 YC),N,1.651,4.531,0.8304,1.422,38.27,419.64,64.75,156.45,198.44,0.5812,1.7
225586 (2000 WS67),N,,,0.7073,1.299,20.64,402.85,73.76,198.37,130.72,0.6657,1.48
225900 (2002 AF3),N,,,0.6204,1.905,10.56,751.34,353.21,190.4,207.73,0.3748,2.63
226514 (2003 UX34),Y,,,0.6159,1.095,2.56,464.03,4.3,218.58,241.15,0.86,1.15
226554 (2003 WR21),Y,0.482,13.404,0.2615,1.118,9.27,316.96,85.76,108.11,123.09,0.8334,1.18
228368 (2000 WK10),Y,,,0.702,1.479,14.73,453.34,57.93,244.51,150.9,0.548,1.8
228502 (2001 TE2),N,0.302,13.14,0.1966,1.083,7.63,527.96,171.11,35.79,321.06,0.874,1.13
229007 (2003 XF11),N,,,0.8474,2.196,8.63,456.1,115.96,173.96,166.18,0.3029,3.25
229672 (2006 WR1),N,,,0.6137,1.333,38.2,419.45,105.96,132.13,181.36,0.6404,1.54
230089 (2000 WP148),N,,,0.2643,1.319,21.28,723.87,251.98,237.95,233.94,0.651,1.51
230420 (2002 PP6),N,,,0.6522,2.327,20.12,475.25,135,272.94,67.31,0.2777,3.55
230549 (2003 BH),Y,0.217,,0.3561,1.457,13.11,591.75,119.76,313.41,158.58,0.5607,1.76
230599 (2003 FJ1),N,,,0.8171,2.17,20.96,552.77,128.59,182.08,242.1,0.3083,3.2
231134 (2005 TU45),N,,2.6717,0.4947,1.975,28.53,540.45,119.98,77.12,343.35,0.3552,2.77
231937 (2001 FO32),Y,0.55,39.905,0.8258,1.699,39.01,507.16,181.71,123.36,202.09,0.4451,2.21
232691 (2004 AR1),Y,,,0.4695,1.576,9.08,593.51,336.51,50.31,206.69,0.4982,1.98
234061 (1999 HE1),N,2.9,,0.5723,2.362,8.16,626.6,65.79,221.95,338.86,0.2715,3.63
235700 (2004 TR13),N,,,0.7295,2.017,17.85,276.88,12.12,249.98,14.78,0.3441,2.86
235756 (2004 VC),Y,1.136,7.18,0.2589,1.133,39.15,546.17,194.16,94.18,257.83,0.8169,1.21
237551 (2000 WQ19),N,0.63,,0.347,1.406,34.27,482.7,38.78,270.73,173.19,0.5911,1.67
238063 (2003 EG),N,1.47,7.23,0.7136,1.738,31.79,784.02,359.03,326.94,98.05,0.4301,2.29
238456 (2004 RK),N,0.328,,0.3004,1.389,18.15,480.06,178.76,264.43,36.87,0.6023,1.64
239849 (1999 VO11),N,0.45,,0.6336,2.256,15.75,248.96,67.45,72.35,109.16,0.2908,3.39
241370 (2008 LW8),N,0.764,10.83,0.3936,1.676,17.27,515.86,223.1,118.63,174.13,0.4544,2.17
242147 (2003 BH84),N,1.687,46.32,0.7196,1.959,23.34,396.43,283.2,35.57,77.66,0.3594,2.74
242450 (2004 QY2),Y,2.914,,0.4772,1.084,37.03,634.98,295.27,104.98,234.73,0.8734,1.13
242643 (2005 NZ6),Y,1.989,7,0.8652,1.833,8.41,325.27,38.79,48.96,237.52,0.397,2.48
242708 (2005 UK1),Y,,63.8,0.6953,2.501,0.79,764.61,180.3,345.94,238.37,0.2492,3.95
243566 (1995 SA),Y,0.881,2.313,0.642,2.463,19.58,479.07,169.02,54.3,255.75,0.2549,3.87
244670 (2003 KN18),N,,20.887,0.4856,1.749,11.9,668.98,168.66,354.78,145.54,0.4261,2.31
244977 (2004 BE68),Y,0.495,,0.4446,1.761,15.74,745.65,210.88,191.28,343.49,0.4219,2.34
247360 (2001 XU),Y,,,0.8366,2.573,19.07,728.56,260.98,286.06,181.52,0.2388,4.13
248590 (2006 CS),N,4.726,,0.6968,2.915,52.3,777.64,172.41,346.41,258.82,0.198,4.98
250458 (2004 BO41),N,0.63,16.19,0.4929,1.019,35.55,604.63,337.74,254.45,12.44,0.9589,1.03
250577 (2005 AC),N,,,0.5178,1.05,46.88,684.61,315.76,285.59,83.26,0.9162,1.08
250614 (2005 GG),N,1.617,,0.6595,2.042,34.84,707.42,106.38,335.28,265.76,0.3378,2.92
250620 (2005 GE59),Y,0.654,5.354,0.6025,2.109,16.08,634.55,194.74,243.02,196.79,0.3218,3.06
250697 (2005 QY151),N,,11,0.4392,1.381,12.65,313.24,14.32,124.96,173.96,0.6076,1.62
250706 (2005 RR6),Y,0.535,7,0.7011,2.957,6.93,345.52,27.27,59.96,258.29,0.1938,5.09
251346 (2007 SJ),Y,,2.718,0.5332,2.015,8.18,753.07,306.76,175.25,271.06,0.3447,2.86
251722 (1997 US2),Y,,,0.6608,1.675,3.17,281.82,65.89,100.33,115.6,0.4547,2.17
252091 (2000 UP30),N,,5.44,0.7615,2.253,9.37,368.89,194.86,118.99,55.04,0.2914,3.38
252373 (2001 SA270),N,,,0.7357,1.302,38.52,443.9,210.01,15.64,218.25,0.6631,1.49
252558 (2001 WT1),N,0.533,,0.3973,1.089,7.16,457.18,73.77,180.71,202.7,0.8667,1.14
253106 (2002 UR3),N,,180,0.7925,1.379,48.65,331.49,51.85,141.28,138.36,0.6088,1.62
253841 (2003 YG118),Y,,2.27,0.6461,2.28,8.03,911.37,347.42,233.54,330.41,0.2863,3.44
254417 (2004 VV),N,,,0.6044,2.076,52.47,949.91,342.74,354.65,252.52,0.3294,2.99
255071 (2005 UH6),Y,,,0.6325,1.001,2.64,273.1,19.29,200.25,53.56,0.9839,1
255501 (2006 BG),N,,,0.732,1.683,4.83,791.02,280.88,341.31,168.83,0.4513,2.18
257744 (2000 AD205),N,,5.8,0.5861,1.695,7.92,471.73,157.17,192.09,122.47,0.4467,2.21
259221 (2003 BA21),N,,9.09,0.8331,1.1,23.7,345.89,308.86,18.15,18.88,0.854,1.15
260141 (2004 QT24),Y,,7.66,0.2519,1.133,17.75,243.34,36.1,76.64,130.6,0.8175,1.21
263976 (2009 KD5),Y,0.785,2.664,0.2615,1.046,13.47,425.73,104.49,294.37,26.87,0.9211,1.07
264993 (2003 DX10),Y,,,0.4108,1.375,3.15,351.27,61.75,194.06,95.46,0.6114,1.61
265032 (2003 OU),N,,,0.7023,2.304,40.14,724.97,206.32,175.51,343.14,0.2819,3.5
265187 (2003 YS117),N,,,0.3303,1.249,29.56,819.34,300.39,322.08,196.87,0.7058,1.4
265196 (2004 BW58),Y,0.361,6.479,0.3787,1.455,15.21,762.68,132.61,301.85,328.22,0.5617,1.75
265482 (2005 EE),Y,,2.6534,0.3277,1.129,6.17,610,110.78,284.75,214.47,0.822,1.2
265661 (2005 UB),N,,,0.7382,1.897,27.71,393.45,272.08,3.19,118.18,0.3772,2.61
267131 (2000 EK26),Y,,,0.6573,2.41,15.65,672.62,126.39,305.54,240.69,0.2635,3.74
267136 (2000 EF104),N,,,0.4178,1.148,10.82,500.36,66.34,346.81,87.21,0.8016,1.23
267221 (2001 AD2),Y,0.562,,0.6598,1.04,1.64,557.8,210.54,111.95,235.31,0.9292,1.06
267223 (2001 DQ8),N,,4.11,0.9009,1.842,12.77,552.81,342.65,14.85,195.31,0.3942,2.5
267337 (2001 VK5),Y,0.439,39.05,0.514,1.269,19.43,382.87,54.22,263.93,64.72,0.6893,1.43
267494 (2002 JB9),Y,,2.4261,0.7843,2.719,46.76,689.59,70.21,278,341.38,0.2199,4.48
267720 (2003 CA),Y,,,0.7196,1.379,21.15,546.73,126.17,234.82,185.74,0.6085,1.62
267729 (2003 FC5),Y,,129.5,0.6087,1.917,5.83,524.84,188.76,271.26,64.82,0.3714,2.65
267940 (2004 EM20),N,,2.419,0.524,1.105,14.14,841.94,343.76,314.89,183.29,0.848,1.16
269690 (1996 RG3),Y,0.888,,0.6037,2.001,3.58,755.63,158.05,300.27,297.31,0.3482,2.83
271480 (2004 FX31),N,0.709,77.1,0.442,1.261,24.75,685.63,169.13,285.8,230.7,0.6964,1.42
274138 (2008 FU6),N,0.747,2.852,0.569,1.324,12.83,581.93,192.82,129.12,259.99,0.647,1.52
275677 (2000 RS11),Y,,4.444,0.3205,1.28,17.1,620.03,172.16,301.69,146.18,0.6804,1.45
275714 (2000 YH4),N,,4.438,0.4586,1.49,17.97,427.91,85.55,269.52,72.84,0.5421,1.82
275974 (2001 XD),N,0.626,26.1,0.7958,2.045,11.3,615.33,63.96,232.73,318.64,0.337,2.93
275975 (2001 XF1),N,,,0.4637,1.479,22.03,632.91,87.77,231.59,313.55,0.548,1.8
275976 (2001 XV10),N,2.381,6.41,0.5854,2.205,22.35,400.59,31.38,342.07,27.14,0.3011,3.27
276033 (2002 AJ129),Y,,3.9333,0.9149,1.37,15.44,434.51,138.01,211.04,85.46,0.6144,1.6
276049 (2002 CE26),N,3.5,3.2931,0.5612,2.233,47.29,747.97,161.87,228.07,358.03,0.2953,3.34
276409 (2002 YN2),N,,,0.5872,1.243,50.26,652.06,290.68,38.47,322.91,0.7115,1.39
276703 (2004 BL11),N,0.521,,0.7498,1.26,9.81,653.51,142.42,176.95,334.14,0.6967,1.41
276732 (2004 EV9),N,,,0.7809,1.471,40.82,633.3,172.4,226.73,234.17,0.5524,1.78
276891 (2004 RH340),N,,,0.3813,1.295,26.11,625.81,51.54,335.44,238.83,0.6691,1.47
277039 (2005 CF41),N,0.676,16.2,0.5859,1.649,15.87,579.12,132.18,208.77,238.17,0.4656,2.12
277142 (2005 LG8),N,,4.63,0.8274,1.755,26.57,464.9,211.3,193.82,59.78,0.4239,2.33
277475 (2005 WK4),Y,,2.595,0.2374,1.011,9.84,295.54,138.11,74.13,83.3,0.9702,1.02
277570 (2005 YP180),Y,0.439,3.689,0.617,1.372,4.11,658.01,288.91,92.47,276.63,0.613,1.61
277616 (2006 BN6),N,1.236,5.45,0.6943,2.577,18.75,773.91,249.38,338.86,185.67,0.2383,4.14
277617 (2006 BT7),N,0.666,,0.6333,1.522,16.17,870.12,298.55,342.56,229.01,0.525,1.88
