full_name,pha,diameter,rot_per,e [rad],a [au],I [deg],L [deg],long.node.  [deg],long.peri.  [deg],ma,n,per_y
673011 (2015 AR45),Y,,,0.7013,1.385,9.23,392.05,114.35,239.63,38.07,0.6044,1.63
673566 (2015 DE200),N,,,0.5223,1.189,18.71,654.76,320.71,54.02,280.03,0.7603,1.3
673675 (2015 FM34),N,,,0.5768,2.082,4.68,572.21,140.09,350.5,81.62,0.328,3
673677 (2015 FF37),N,,,0.4157,1.526,15.36,584.18,29.16,339.95,215.07,0.5229,1.88
674207 (2015 MN66),N,,,0.4525,1.219,17.75,641.65,56.87,333.62,251.16,0.732,1.35
674590 (2015 RH2),Y,,10.672,0.2666,1.218,5.36,657.8,332.38,115.37,210.05,0.7333,1.34
674942 (2015 TX143),N,,,0.5526,1.583,8.58,599.52,157.47,322.66,119.39,0.4951,1.99
675214 (2015 VR1),N,,,0.3686,1.586,19.24,591.67,214.3,244.96,132.41,0.4934,2
675481 (2015 XL128),N,0.492,,0.7019,2.575,17.93,231.49,42.18,161.29,28.02,0.2385,4.13
675603 (2015 XE352),Y,,6.9182,0.3891,1.335,2.05,316.14,45.18,225.54,45.42,0.6388,1.54
675689 (2015 YA10),N,,,0.6556,1.547,9.55,589.39,45.13,302.71,241.55,0.5121,1.92
676261 (2016 EE156),N,1.99,,0.8108,2.575,28.9,312.17,134.17,175.62,2.38,0.2385,4.13
676362 (2016 FG15),N,0.686,,0.6953,2.496,16.64,300.64,72.47,183.74,44.43,0.2499,3.94
677578 (2017 AV3),N,,,0.5117,1.585,36.48,350.21,128.32,193.81,28.08,0.4938,2
677579 (2017 AF5),N,,49.68,0.9496,2.48,20.85,343.55,323.27,11.22,9.06,0.2524,3.91
677600 (2017 BM6),N,,,0.6915,1.744,6.23,517.88,43.61,325.16,149.11,0.4279,2.3
678010 (2017 FE101),N,,,0.4059,1.474,53.57,586.87,187.62,222.45,176.8,0.5507,1.79
678263 (2017 QP17),N,,,0.4575,1.147,24.22,675.62,252.34,188.89,234.39,0.802,1.23
678413 (2017 SV20),Y,,,0.3054,1.303,22.73,282.77,110.86,119.66,52.25,0.6625,1.49
678715 (2017 VV14),Y,,,0.845,2.24,15.89,360.93,77.93,234.76,48.24,0.294,3.35
678899 (2018 AG2),N,,,0.3909,1.551,23.75,624.88,159,235.77,230.11,0.5104,1.93
678927 (2018 BP),Y,,0.9476,0.3977,1.557,3.33,596.93,183.28,216.51,197.14,0.5075,1.94
678964 (2018 CC14),N,,,0.5454,2.081,5.89,610.73,200.37,343.07,67.29,0.3283,3
678976 (2018 EH4),Y,,,0.6126,2.06,6.19,182.47,2.83,75.23,104.41,0.3333,2.96
679337 (2019 AQ4),N,,,0.5328,1.181,46.95,669.82,300.9,358.97,9.95,0.7675,1.28
679420 (2019 EV2),N,,,0.6576,1.389,66.37,607.91,181.11,218.31,208.49,0.6021,1.64
