OBJECT_NAME,a [km],e [rad],I [deg],L [deg],long.peri.  [deg],long.node.  [deg],OBJECT_ID,EPOCH,MEAN_MOTION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SL-16 R/B,7215.447621,0.0008889,71.0028,598.7339,474.5382,156.8305,1985-097B,2024-10-04T22:05:35.219328,14.16470727,156.8305,317.7077,124.1957,0,U,16182,999,1348,2.49E-04,4.47E-06,0
SL-14 R/B,6989.851839,0.0017377,82.5283,512.5193,292.6347,29.4524,1986-006B,2024-10-04T20:41:47.232672,14.85595468,29.4524,263.1823,219.8846,0,U,16496,999,7184,3.53E-04,3.08E-05,0
COSMOS 1743,6849.392686,0.0008863,82.5429,607.8418,273.041,247.6744,1986-034A,2024-10-04T21:48:34.423200,15.31526172,247.6744,25.3666,334.8008,0,U,16719,999,9991,1.14E-03,3.49E-04,0
SL-14 R/B,6992.748007,0.002453,82.4846,572.1474,356.7319,211.8635,1986-046B,2024-10-04T21:19:52.352832,14.84672636,211.8635,144.8684,215.4155,0,U,16792,999,4910,3.49E-04,2.99E-05,0
SL-14 R/B,6992.643827,0.0017616,82.5183,626.0593,506.8961,255.5476,1986-055B,2024-10-05T05:26:09.645792,14.84705815,255.5476,251.3485,119.1632,0,U,16882,999,6328,3.50E-04,2.99E-05,0
AJISAI (EGS),7865.685084,0.0011355,50.0078,627.8342,296.0163,253.732,1986-061A,2024-10-05T05:34:45.636096,12.4450799,253.732,42.2843,331.8179,0,U,16908,999,40354,3.53E-05,-9.20E-07,0
COSMOS 1812,6834.260396,0.0002134,82.509,385.4902,221.7843,25.3727,1987-003A,2024-10-04T18:37:41.882880,15.36615601,25.3727,196.4116,163.7059,0,U,17295,999,6332,1.32E-03,4.73E-04,0
SL-14 R/B,6991.056412,0.0018616,82.53,581.5692,399.0777,221.4384,1987-024B,2024-10-05T07:30:21.115296,14.85211528,221.4384,177.6393,182.4915,0,U,17567,999,3201,3.55E-04,3.08E-05,0
COSMOS 1833,7227.235981,0.0026147,70.9238,699.2539,610.1034,339.4414,1987-027A,2024-10-05T11:23:32.318304,14.13006528,339.4414,270.662,89.1505,0,U,17589,999,93705,7.29E-05,8.80E-07,0
SL-16 R/B,7213.571887,0.0006133,71.0019,653.2926,511.3699,293.2236,1987-027B,2024-10-05T04:22:59.302848,14.17023247,293.2236,218.1463,141.9227,0,U,17590,999,94187,8.71E-05,1.27E-06,0
SL-14 R/B,6993.412947,0.0021039,82.5005,427.4111,152.3929,67.0493,1987-038B,2024-10-04T21:47:58.860960,14.84460895,67.0493,85.3436,275.0182,0,U,17912,999,194,3.51E-04,2.99E-05,0
COSMOS 1844,7222.566311,0.0028862,70.8999,411.7386,134.3801,51.2983,1987-041A,2024-10-05T11:28:57.113184,14.14377095,51.2983,83.0818,277.3585,0,U,17973,999,93022,4.19E-04,7.57E-06,0
SL-14 R/B,6992.608658,0.0019673,82.4969,479.4258,415.9032,119.5062,1987-055B,2024-10-05T01:03:00.352512,14.84717016,119.5062,296.397,63.5226,0,U,18153,999,1374,2.55E-04,2.19E-05,0
COSMOS 1867,7165.341758,0.0020667,65.012,684.1758,589.4318,324.3034,1987-060A,2024-10-05T03:51:58.251168,14.31354334,324.3034,265.1284,94.744,0,U,18187,999,94565,1.63E-04,3.35E-06,0
COSMOS 1892,6822.698274,0.000875,82.4893,505.4737,486.1465,145.3823,1987-088A,2024-10-05T02:36:17.728992,15.40523306,145.3823,340.7642,19.3272,0,U,18421,999,2377,1.21E-03,4.93E-04,0
SL-14 R/B,6992.863808,0.0018982,82.5141,684.7336,478.703,324.5169,1988-001B,2024-10-05T09:49:50.016288,14.84635757,324.5169,154.1861,206.0306,0,U,18749,999,98588,2.67E-04,2.29E-05,0
COSMOS 1933,6909.503049,0.0003822,82.5175,403.4675,232.838,43.3516,1988-020A,2024-10-05T09:24:39.090240,15.11584055,43.3516,189.4864,170.6295,0,U,18958,999,99265,9.37E-04,1.59E-04,0
SL-3 R/B,6908.475062,0.0028638,97.4616,617.9356,495.9478,258.0905,1988-032B,2024-10-05T03:12:40.320000,15.11921455,258.0905,237.8573,121.9878,0,U,19046,999,97350,9.23E-04,1.59E-04,0
SL-16 R/B,7205.309218,0.0019952,71.013,449.9758,145.1345,89.6754,1988-039B,2024-10-04T21:16:04.492704,14.19461397,89.6754,55.4591,304.8413,0,U,19120,999,88447,2.50E-04,4.79E-06,0
COSMOS 1953,6890.87762,0.0015366,82.5117,678.7981,466.4177,318.5807,1988-050A,2024-10-04T12:54:08.600256,15.1771671,318.5807,147.837,212.3804,0,U,19210,999,95843,9.15E-04,1.86E-04,0
SL-8 R/B,7142.018877,0.0021363,74.0503,828.9371,653.6626,352.4041,1988-053B,2024-10-04T17:02:23.287200,14.38371372,352.4041,301.2585,175.2745,0,U,19257,999,90167,5.09E-04,1.53E-05,0
COSMOS 1975,6893.223822,0.0014214,82.5208,636.081,464.3198,275.9811,1988-093A,2024-10-05T01:57:35.692704,15.16941913,275.9811,188.3387,171.7612,0,U,19573,999,96134,1.23E-03,2.45E-04,0
SL-14 R/B,6992.468877,0.0020034,82.5338,702.9543,492.8216,170.0797,1988-093B,2024-10-05T11:07:36.788736,14.84761536,170.0797,322.7419,210.1327,0,U,19574,999,94490,3.29E-04,2.82E-05,0
SL-16 R/B,7216.987301,0.0012107,70.9995,527.4822,250.1051,167.2322,1988-102B,2024-10-04T21:10:12.548352,14.16017464,167.2322,82.8729,277.3771,0,U,19650,999,85344,3.19E-04,5.83E-06,0
INTERCOSMOS 24,7807.837844,0.1194089,82.6015,454.3322,143.0411,82.8938,1989-080A,2024-10-04T23:33:16.954272,12.58364169,82.8938,60.1473,311.2911,0,U,20261,999,60086,7.05E-04,2.41E-05,0
SL-14 R/B,7842.98171,0.1231794,82.5945,495.1866,441.8762,147.4355,1989-080C,2024-10-05T01:56:42.800352,12.49915685,147.4355,294.4407,53.3104,0,U,20262,999,59466,3.63E-04,1.19E-05,0
DELTA 1 R/B,7104.30982,0.0069199,97.1162,556.2781,524.3672,196.5802,1989-089B,2024-10-04T21:08:17.405664,14.4983868,196.5802,327.787,31.9109,0,U,20323,999,84077,9.16E-04,3.61E-05,0
ARIANE 40 R/B,7139.297073,0.0009598,98.3824,702.3812,677.3448,342.3089,1990-005H,2024-10-05T03:52:39.530496,14.39194003,342.3089,335.0359,25.0364,0,U,20443,999,81817,7.27E-04,2.21E-05,0
DELTA 2 R/B(1),6899.919571,0.0188799,35.6181,594.9867,500.4633,237.0666,1990-008B,2024-10-05T06:09:03.508704,15.14734366,237.0666,263.3967,94.5234,0,U,20453,999,84619,1.50E-03,4.50E-04,0
COSMOS 2058,6928.842986,0.0011272,82.4904,557.0843,492.6202,197.0782,1990-010A,2024-10-05T12:43:01.503264,15.05259724,197.0782,295.542,64.4641,0,U,20465,999,88492,1.10E-03,1.58E-04,0
SL-14 R/B,6998.898467,0.0019314,82.5052,396.3039,249.0936,36.3021,1990-010B,2024-10-04T19:28:07.350816,14.82716025,36.3021,212.7915,147.2103,0,U,20466,999,85127,3.74E-04,3.05E-05,0
SL-14 R/B,7003.269602,0.0016644,82.5249,709.8688,360.4321,349.7122,1990-018B,2024-10-04T19:17:46.315392,14.81328072,349.7122,10.7199,349.4367,0,U,20511,999,84544,2.76E-04,2.18E-05,0
HST,6884.13809,0.0003118,28.4699,684.9028,484.5777,324.8311,1990-037B,2024-10-05T12:31:41.369376,15.19946009,324.8311,159.7466,200.3251,0,U,20580,999,69408,8.27E-04,1.85E-04,0
SL-16 R/B,7220.84095,0.001401,70.9998,671.1161,316.0202,310.99,1990-046B,2024-10-05T04:11:01.806144,14.14884056,310.99,5.0302,355.0959,0,U,20625,999,77501,8.00E-05,1.07E-06,0
COSMOS 2084,6943.817634,0.0098175,62.791,666.0685,435.4624,305.0963,1990-055A,2024-10-05T03:17:39.527520,15.00393112,305.0963,130.3661,230.6061,0,U,20663,999,85806,7.34E-04,1.01E-04,0
SL-6 R/B(2),6946.751291,0.006915,62.785,579.6602,374.0863,219.2113,1990-055D,2024-10-05T04:04:37.130016,14.99442774,219.2113,154.875,205.5739,0,U,20666,999,85948,8.14E-04,1.04E-04,0
SL-8 R/B,7052.895475,0.0448427,82.9173,707.4642,650.2367,351.7932,1990-078B,2024-10-04T17:27:05.220864,14.65721134,351.7932,298.4435,57.2275,0,U,20775,999,73234,1.13E-03,2.95E-04,0
SL-8 R/B,7351.357865,0.0023829,82.946,262.1677,253.0895,197.4577,1991-006B,2024-10-04T21:02:35.064672,13.77371759,197.4577,55.6318,9.0782,0,U,21088,999,69237,3.40E-04,3.53E-06,0
OKEAN-3,6946.117689,0.0014629,82.5156,479.4515,421.9411,119.4706,1991-039A,2024-10-05T02:52:35.584320,14.9964794,119.4706,302.4705,57.5104,0,U,21397,999,80794,8.69E-04,1.08E-04,0
COSMOS 2151,6954.990849,0.0013979,82.4992,584.9808,251.395,224.7871,1991-042A,2024-10-04T21:57:52.918848,14.96778985,224.7871,26.6079,333.5858,0,U,21422,999,78519,9.16E-04,1.05E-04,0
SL-14 R/B,7004.153521,0.0018045,82.4963,708.1892,494.7278,347.9541,1991-042B,2024-10-05T07:02:05.424576,14.81047667,347.9541,146.7737,213.4614,0,U,21423,999,79706,2.88E-04,2.26E-05,0
ERS-1,7140.703094,0.0031429,98.7864,632.9547,581.3203,273.1189,1991-050A,2024-10-04T21:23:11.732064,14.38768953,273.1189,308.2014,51.6344,0,U,21574,999,74082,7.11E-04,2.15E-05,0
ARIANE 40 R/B,7129.579689,0.0002852,98.278,697.6219,528.2923,337.509,1991-050F,2024-10-04T18:54:20.886336,14.42137367,337.509,190.7833,169.3296,0,U,21610,999,74389,7.21E-04,2.33E-05,0
